station_name,peak_traffic,store_type,store_count,top_3_ranking
서울역,2.4560725E7,섬유·의복·신발 소매,52,1
서울역,2.4560725E7,기타 간이,16,2
서울역,2.4560725E7,비알코올,9,3
잠실(송파구청),2.0737487E7,,0,1
가산디지털단지,1.7765668E7,종합 소매,3,1
가산디지털단지,1.7765668E7,비알코올,2,2
가산디지털단지,1.7765668E7,기타 간이,1,3
강남,1.6733856E7,본사·경영 컨설팅,6639,1
강남,1.6733856E7,한식,5161,2
강남,1.6733856E7,광고,4538,3
홍대입구,1.6295712E7,기타 간이,3,1
홍대입구,1.6295712E7,종합 소매,2,2
홍대입구,1.6295712E7,식물 소매,1,3
여의도,1.6238091E7,본사·경영 컨설팅,1163,1
여의도,1.6238091E7,한식,867,2
여의도,1.6238091E7,비알코올,341,3
선릉,1.5987287E7,본사·경영 컨설팅,542,1
선릉,1.5987287E7,한식,421,2
선릉,1.5987287E7,부동산 서비스,415,3
사당,1.4792163E7,한식,588,1
사당,1.4792163E7,이용·미용,352,2
사당,1.4792163E7,기타 간이,289,3
구로디지털단지,1.4439302E7,법무관련,2,1
구로디지털단지,1.4439302E7,담배 소매,1,2
구로디지털단지,1.4439302E7,기타 간이,1,3
고속터미널,1.4225786E7,섬유·의복·신발 소매,34,1
고속터미널,1.4225786E7,종합 소매,7,2
고속터미널,1.4225786E7,장식품 소매,3,3
